"PackageName","ProcedureCall","Modules","Methods","ReadObjects","WriteObjects","ReplacementAction","TargetPackage","ReplacementRationale","TransitionRule"
"PKG_AD","PKG_AD.UPDATE_USERS","AD","UpdateUser","T_USER_MAPING; T_USER; T_EMAIL_ADDRESS; T_EMP_EMAILS; T_AU_REMARKS","T_USER; T_USER_MAPING; T_EMAIL_ADDRESS; T_EMP_EMAILS","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.RESET_USER_PASSWORD","AD","ResetUserPassword","T_USER; T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES; DUAL; V_SERVICE_EMPLOYEEINFO; V_EMAILS","PASSWORD; T_USER","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_ADDGROUPMENUITEMSASSIGNMENT","AD","AddGroupMenuItemsAssignment","T_MENU_PAGES_GROUPMAP; T_AU_API_MASTER; T_AU_ROLE_API_PERMISSION","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_REMOVEGROUPMENUITEMSASSIGNMENT","AD","RemoveGroupMenuItemsAssignment","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION; T_AU_API_MASTER","T_MENU_PAGES_GROUPMAP; T_AU_ROLE_API_PERMISSION","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GETAUDITZONES","AD","GetAuditZones","T_AUDITEE_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETBRANCHES","AD","GetBranches","V_SERVICE_BRANCH","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETZONES","AD","GetZones","T_AUDITEE_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETZONESFORHOMOINTORING","AD","GetZonesoldparamointoring","T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETBRANCHSIZES","AD","GetBranchSizes","T_AUDITEE_ENTITIES_SIZE_DISC","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETCONTROLVIOLATIONS","AD","GetControlViolations","T_R_SUB_GROUP","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETSUBENTITIES","AD","GetSubEntities","T_AUDITEE_ENTITEE_SUBENTITY; T_AUDITEE_ENTITIES_MAPING","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_ADDSUBENTITY","AD","AddSubEntity","T_AUDITEE_ENTITEE_SUBENTITY","T_AUDITEE_ENTITEE_SUBENTITY","split","pkg_entity + pkg_master","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_UPDATESUBENTITY","AD","UpdateSubEntity","","T_AUDITEE_ENTITEE_SUBENTITY","split","pkg_entity + pkg_master","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GET_AUDIT_TEAM_POSTCHANGES","AD","GetAuditOngoingEngagementPlans","T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETRISKPROCESSDETAILS","AD","GetRiskProcessDetails","T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_SUB","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_SUB_CHECKLIST_UPDATE_BYID","AD","GetSubChecklistComparisonDetailById","V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_UPDATE_PROPOSE","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_CHECKLIST_UPDATE_BYID","AD","GetChecklistComparisonDetailById","V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_CHECKLIST_UPDATE_BYID_REF","AD","GetChecklistComparisonDetailByIdForRefferedBack","V_CHECKLIST_UPDATE_EXITING; V_CHECKLIST_UPDATE_PROPOSE_ID","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETRISKPROCESSTRANSACTIONS","AD","GetRiskProcessTransactions","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_R_SUB_GROUP; T_HR_DESIGNATIONS; T_AUDITEE_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_UPDATED_SUB_CHECKLIST_FOR_REVIEW","AD","GetUpdatedSubChecklistForReviewAndAuthorize","T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_CHANGE; V_SUB_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_UPDATED_CHECKLIST_FOR_REVIEW","AD","GetUpdatedChecklistDetailsForReviewAndAuthorize","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_R_SUB_GROUP; T_HR_DESIGNATIONS; T_AUDITEE_ENTITIES; T_RISK; V_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_AUDIT_CHECKLIST","AD","AddAuditChecklist; AddRiskProcess","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_AUDIT_CHECKLIST_SUB","AD","AddAuditSubChecklist; AddRiskSubProcess","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_AUDIT_CHECKLIST_DETAIL","AD","AddAuditChecklistDetail; AddRiskSubProcessTransaction","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_APPROVED_SUB_PROCESS_BY_AUTHORIZER","AD","AuthorizeSubProcessByAuthorizer","T_AU_ACTIVITY_LOG; DUAL; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_REFFEREDBACK_SUB_CHECKLIST_BY_REVIEWER","AD","RefferedBackSubProcessByAuthorizer","T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_RECOMMEND_CHECKLIST_BY_REVIEWER","AD","RecommendProcessTransactionByReviewer","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_REFFEREDBACK_CHECKLIST_BY_REVIEWER","AD","RefferedBackProcessTransactionByReviewer","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_APPROVE_CHECKLIST_BY_AUTHORIZER","AD","AuthorizeProcessTransactionByAuthorizer","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS; T_AU_OBSERVATION; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_REFFEREDBACK_CHECKLIST_BY_AUTHORIZER","AD","RefferedBackProcessTransactionByAuthorizer","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GETRISKS","AD","GetRisks","T_RISK","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_SUBCHECKILIST","AD","GetAuthorizeMergeSubChecklist","T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_SUB_MERGER","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_ANNEXURE_PROCESS","AD","GetAnnexureProcess","T_AUDIT_CHECKLIST_ANNEXURE_PROCESS","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_SUB_CHECKLIST_MAKER","AD","GetAuditSubChecklist","T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; V_SUB_CHECKLIST_UPDATE_EXITING; V_SUB_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_AUDIT_CHECKLIST_UPDATE","AD","UpdateAuditChecklist","T_AU_ACTIVITY_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_AUDIT_CHECKLIST_SUB_UPDATE","AD","UpdateAuditSubChecklist","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_SUB_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GETCHECKLISTDETAILBYSUBPROCESSID","AD","GetAuditChecklistDetail","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_CHANGE","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_CHECKLISTDETAIL_FOR_DUPLICATE","AD","GetAuditChecklistDetailForRemoveDuplicate","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST_DETAILS_CHANGE","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_CHECKLISTDETAIL_FOR_SUBCHECKLIST","AD","GetChecklistDetailForSubProcess","T_AUDIT_CHECKLIST_DETAILS","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETCHECKLISTDETAIL_REF","AD","GetReferredBackAuditChecklistDetail","T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDIT_CHECKLIST_DETAILS_CHANGE; V_CHECKLIST_REFFEREDBACK_COMMENTS; T_AUDIT_CHECKLIST_DETAILS_LOG","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.AUDIT_CHECKLIST_DETAIL_UPDATE","AD","UpdateAuditChecklistDetail","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_LOG; T_AUDIT_CHECKLIST_DETAILS; DUAL","T_AU_ACTIVITY_LOG; T_AUDIT_CHECKLIST_DETAILS_CHANGE; T_AUDIT_CHECKLIST_DETAILS_LOG","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GETCHILDPOSTING","AD","Getchildposting","T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES_MAPING","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETPARENTREPOFFICE","AD","Getparentrepoffice","T_AUDITEE_ENT_RELATION","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_COMPLIANCE_OFFICE","AD","GetComplianceOfficer; GetComplianceUnits","V_GET_COMPLIANCE_REVIEWER_APPROVER; T_AUDITEE_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETREALTIONSHIPTYPE","AD","Getrealtionshiptype","V_GET_REALTIONSHIPTYPE","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_AUDITEE_ENGAGEMENT","AD","GetAuditeeEngagements","T_AU_PLAN_ENG; T_AUDITEE_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
