"Domain","LegacySource","LookupTypeCode","LookupCode","LookupName","SortOrder","MigrationRule","Notes"
"Compliance","AIS_T_AU_POST_COMPLIANCE.COM_STATUS","COMPLIANCE_STATUS","PARTIALLY_COMPLIED","Partially Complied","30","Map partial compliance outcomes.","Needs cycle continuity."
"Compliance","AIS_T_AU_POST_COMPLIANCE.COM_STATUS","COMPLIANCE_STATUS","FULLY_COMPLIED","Fully Complied","40","Map full compliance outcomes.","May still require approval."
"Compliance","T_AU_POST_COMPLIANCE_SETTLEMETMENT_HISTORY","COMPLIANCE_STATUS","SETTLED","Settled","50","Map terminal settlement states.","Terminal case status."
"IID","T_AU_IID_COMPLAINT_HDR.STATUS / STATUS_ID","IID_CASE_STATUS","RECEIVED","Received","10","Initial complaint intake state.","Submitted complaint."
"IID","T_AU_IID_ANALYSIS","IID_CASE_STATUS","UNDER_ANALYSIS","Under Analysis","20","Set when analysis record exists and case not advanced.","Active analysis stage."
"IID","T_AU_IID_ASSESSMENT","IID_CASE_STATUS","UNDER_ASSESSMENT","Under Assessment","30","Set when assessment record exists.","Assessment stage."
"IID","T_AU_IID_INV_PLAN","IID_CASE_STATUS","INVESTIGATION_PLANNED","Investigation Planned","40","Set when investigation plan is saved/approved.","Plan approval event may exist separately."
"IID","T_AU_IID_HEAD_REVIEW","IID_CASE_STATUS","UNDER_HEAD_REVIEW","Under Head Review","50","Normalize head-review state.","Retain review actor/history."
"IID","T_AU_IID_REPORT","IID_CASE_STATUS","REPORT_DRAFTED","Report Drafted","60","Set when inquiry report exists but finalization flag is off.","Draft report stage."
"IID","T_AU_IID_COMPLAINT_HDR.IS_FINALIZED","IID_CASE_STATUS","FINALIZED","Finalized","70","Terminal finalized complaint/report state.","Confirmed by direct SQL in DBConnection.IID.cs."
"Commercial","T_CAU_OM.STATUS","COMMERCIAL_AUDIT_STATUS","OM_DRAFT","OM Draft","10","Initial OM creation state.","Legacy OM record created."
"Commercial","PKG_CM.P_CAUGetAssignedOMs","COMMERCIAL_AUDIT_STATUS","OM_ASSIGNED","OM Assigned","20","Map assigned OM states into normalized status.","Assignment visible in live code."
"Commercial","PKG_COMMERCIAL_AUDIT.P_SAVE_PDP","COMMERCIAL_AUDIT_STATUS","PDP_DRAFTED","PDP Drafted","30","Set when PDP exists and is not closed.","Commercial remediation stage."
"Commercial","PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE","COMMERCIAL_AUDIT_STATUS","ARPSE_DRAFTED","ARPSE Drafted","40","Set when ARPSE header exists.","Commercial ARPSE stage."
"Commercial","PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_DAC","COMMERCIAL_AUDIT_STATUS","DAC_REVIEW","DAC Review","50","Set when DAC rows are in review cycle.","Commercial review stage."
"Commercial","PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PAC","COMMERCIAL_AUDIT_STATUS","PAC_REVIEW","PAC Review","60","Set when PAC rows are in review cycle.","Commercial review stage."
"Commercial","Commercial audit closure","COMMERCIAL_AUDIT_STATUS","CLOSED","Closed","70","Terminal status after final action closure.","Terminal commercial case state."
"Report","T_FRPT_REPORT_META.STATUS","REPORT_STATE","DRAFT","Draft","10","Default report state when report exists but is incomplete.","Initial authoring stage."
"Report","PKG_FRPT.P_SAVE_*","REPORT_STATE","IN_PREPARATION","In Preparation","20","Set while narrative/snapshot sections are being edited.","Intermediate state."
"Report","PKG_FRPT.P_FINALIZE_REPORT","REPORT_STATE","FINALIZED","Finalized","30","Terminal author-side report finalization.","Live FRPT transition."
"Report","Approval workflow","REPORT_STATE","APPROVED","Approved","40","Optional approval state when governance signoff is required.","Can be enabled by policy."
"Report","Issued report workflow","REPORT_STATE","ISSUED","Issued","50","Set when final report is released externally.","Notification trigger state."
"Security","T_GROUPS.STATUS, T_AU_ROLE_API_PERMISSION.IS_ACTIVE, T_USER.ISACTIVE","SECURITY_STATUS","ACTIVE","Active","10","Map enabled/active flags to ACTIVE.","Default live state."
"Security","T_GROUPS.STATUS, T_AU_ROLE_API_PERMISSION.IS_ACTIVE, T_USER.ISACTIVE","SECURITY_STATUS","INACTIVE","Inactive","20","Map disabled/inactive flags to INACTIVE.","Soft-disabled state."
"Security","Account lock / failed logins","SECURITY_STATUS","LOCKED","Locked","30","Derive LOCKED when security policy has locked the account.","User-only status."
