"DependencyType","DependencyName","SourceObjects","Status","Evidence","Recommendation"
"Trigger","TRG_BI_AU_RESP_ASSIGNED_FINAL","T_AU_RESP_ASSIGNED_STAGING_2026","ENABLED","Legacy workbook metadata shows 24 column-level references for trigger TRG_BI_AU_RESP_ASSIGNED_FINAL.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_FRPT_STAFF_SNAPSHOT_BI","T_FRPT_STAFF_SNAPSHOT","ENABLED","Legacy workbook metadata shows 13 column-level references for trigger TRG_FRPT_STAFF_SNAPSHOT_BI.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"View","V_SERVICE_EMPLOYEEINFO","","ReferencedByActiveProcedure","Referenced by 18 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_PARENT_OFFICE","","ReferencedByActiveProcedure","Referenced by 9 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_CBAS_ENTITIES","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_ERP_DEPARTMENTS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_HR_ENTITIES","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_EMAILS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SERVICE_BRANCH","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SUB_CHECKLIST_UPDATE_EXITING","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SUB_CHECKLIST_UPDATE_PROPOSE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_CHECKLIST_UPDATE_EXITING","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_CHECKLIST_UPDATE_PROPOSE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_CHECKLIST_UPDATE_PROPOSE_ID","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SUB_CHECKLIST_REFFEREDBACK_COMMENTS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_CHECKLIST_REFFEREDBACK_COMMENTS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_COMPLIANCE_REVIEWER_APPROVER","","ReferencedByActiveProcedure","Referenced by 3 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_REALTIONSHIPTYPE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_AIS_NEW_USER","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_AIS_NEW_USER_FOR_ADDITION","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_HR_RANK","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_HR_DESIGNATIONS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_HR_QUALIFICATIONS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_AUDITEE_PP_RESPONSIBILITY","","ReferencedByActiveProcedure","Referenced by 3 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_P_GETAUDITEEOLDPARASENTITIESFAD","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_AIS_POST_COMPLIANCE","","ReferencedByActiveProcedure","Referenced by 3 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_P_GETAUDITEEOLDPARASFAD_REF","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_P_GET_DETAILS_FOR_MANAGE_OBSERVATIONS_SUMMARY","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_PARA_TEXT_FIELD_AIS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_PARA_TEXT_DEPARTMENT_AIS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GETCLOSINGDRAFT_TEAMMEMBER_SUMMARY","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GETCLOSINGDRAFT_STATUS_SUMMARY","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GETCLOSINGDRAFT_TEAM_SUMMARY","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_AUDITEE_PP_RESPONSIBILITY_FOR_AUTHORIZATION","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_LOAN_OUTSTANDING_AMOUNT","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_LOAN_SANCTION_PROCESS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_BAC_ACTIONABLE_SUMMARY","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_CIA_ANALYSIS","","ReferencedByActiveProcedure","Referenced by 4 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_REPORT_AZ_EMP_PROGRESS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_REPORT_AZ_PROGRESS","","ReferencedByActiveProcedure","Referenced by 3 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_REPORT_DASHBORAD_DETAIL","","ReferencedByActiveProcedure","Referenced by 5 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO","","ReferencedByActiveProcedure","Referenced by 5 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_FUNCTIONAL_RESPONSIBLITY","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_DASH_BORAD_OF_DIVISIONAL_HEAD","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_R_RISKBASE_PLANNING","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_AUDIT_PERFORMANCE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_R_REPEATED_VOILATIONS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_P_FUNCTIONAL_ENTITY_WISE_ANALYSIS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GM_MAPPING","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_P_FUNCTIONAL_ENTITY_WISE_ANALYSIS_OPS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_DASH_BORAD_PARA_DEATILS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_PARA_COMPLIANCE_SUMMARY","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_AUDITEE_PARAS_FAD_COMPLIANCE_PPNO","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_ALL_PARA_TEXT_FOR_REFERENCE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_IAS_PARA_TEXT","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_AIS_POST_COMPLIANCE_AIS_FOR_PARA_CHANGE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_P_GET_SETTLED_PARA_DETAILS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_ALL_OUTASTANDING_PARAS_FAD","","ReferencedByActiveProcedure","Referenced by 3 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_FRPT_STAFF_DESIGNATIONS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_FRPT_KPI_OPTIONS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_FRPT_NPL_CATEGORIES","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_HR_EMPLOYEE_INFO_PPNO_NDC","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_AIS_POST_COMPLIANCE_HO","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_PPNO_RESPONSIBILITY_LIST","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_IID_EMPLOYEE_INFO","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_AUDIT_TEAM_DETAILS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_REPORT_AZ_EMP_PROGRESS_DATACLEANSING","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_REPORT_PARA_POSITION","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_RPT_COMPLAINCE_STATUS_WISE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_RELATIONSHIP_OFFICE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_FAD_AUDIT_PARA_RECONCILIATION","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_MAN_AUDIT_PARA_RECONCILIATION","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_FAD_ANNEXURE_SUM","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_ATAS_T_LOAN_CNIC_WISE","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_ATAS_LOANS_DEFAULT","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_PARA_GIST","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_SETTLEMENT_REPORT","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_RPT_PARA_POISTION","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_RPT_PARA_POISTION_REGIONS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_RPT_FAD_MONTHLY_BASE","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_GET_ANEX_NO_OF_RESPONSIBLE","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_DASHBOARD_NEW_PARAS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_FAD_NAUMAN_RPT","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SAM_ACCOUNT","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SAMPLING_OUT_LOANS_STATUS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SAMPLING_ZERO_RECOVERY","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SAMPLING_CLOSED_LOANS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SAMPLING_DISB_LOANS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SAMPLING_PROD_LOANS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_SAMPLING_DEVP_LOANS","","ReferencedByActiveProcedure","Referenced by 2 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_P_GET_ACCOUNT_TRANSCATIONS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_P_GET_LOANS_EXCEPTIONS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_P_GET_LOAN_DOCUMENTS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_EXCEPTION_ALL_REPORTS","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"View","V_P_GET_ACCOUNT_TRANSCATIONS_MASTER","","ReferencedByActiveProcedure","Referenced by 1 confirmed-active package procedures.","Validate the underlying SQL and either recreate as compatibility view or fold logic into IAS_ZTBL reporting/reference tables."
"PackageInternal","PKG_AD","","ConfirmedActive","182 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_AE","","ConfirmedActive","47 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_AR","","ConfirmedActive","100 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","","","ConfirmedActive","5 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_BAC","","ConfirmedActive","9 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_HD","","ConfirmedActive","81 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_COMMERCIAL_AUDIT","","ConfirmedActive","12 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_LG","","ConfirmedActive","13 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_CM","","ConfirmedActive","10 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_PG","","ConfirmedActive","38 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_AIS","","ConfirmedActive","13 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_AI","","ConfirmedActive","11 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_AIS_EMAIL","","ConfirmedActive","1 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_DB","","ConfirmedActive","30 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_FAD","","ConfirmedActive","45 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_FAD_RISK","","ConfirmedActive","13 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_FRPT","","ConfirmedActive","41 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_INQ","","ConfirmedActive","70 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_ISM","","ConfirmedActive","8 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_RPT","","ConfirmedActive","65 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
"PackageInternal","PKG_SM","","ConfirmedActive","23 confirmed-active procedure calls remain in use.","Use the procedure replacement matrix to split, wrap, redesign, or retire package responsibilities module by module."
