"OldTable","OldColumn","LegacyDataType","NewTable","NewColumn","TargetAvailability","TransformationRule","MandatoryDefaultRule","HistoryStrategy","MigrationDependency","MappingConfidence","Notes"
"AIS_T_AU_POST_COMPLIANCE","ANNEX_REF_ID","NUMBER","tbl_compliance_case","compliance_case_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","AMOUNT","VARCHAR2","tbl_compliance_case","amount_involved","ExistingTableRequiredColumn","Add numeric amount field to compliance case or action and cast legacy text safely.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","REFERENCE_REVIEWED","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","ID","NUMBER","tbl_compliance_evidence","compliance_evidence_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","FILE_NAME","VARCHAR2","tbl_compliance_evidence","name","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","LENGTH","NUMBER","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","TEXTID","NUMBER","tbl_compliance_evidence","detail_text","RequiredTable","Load long text into normalized CLOB detail field.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","ENTEREDBY","NUMBER","tbl_compliance_evidence","created_by","RequiredTable","Resolve legacy PP/user identifier to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","ENTEREDDATE","DATE","tbl_compliance_evidence","created_on","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","LASTUPDATEDBY","NUMBER","tbl_compliance_evidence","modified_by","RequiredTable","Resolve legacy PP/user identifier to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","LASTUPDATEDDATE","DATE","tbl_compliance_evidence","modified_on","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","SEQUENCE","NUMBER","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","DESCRIPTION","VARCHAR2","tbl_compliance_evidence","description","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","COMP_ID","NUMBER","tbl_compliance_evidence","compliance_evidence_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE","FILE_DATA","CLOB","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","ID","NUMBER","tbl_compliance_evidence","compliance_evidence_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","FILE_NAME","VARCHAR2","tbl_compliance_evidence","name","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","LENGTH","NUMBER","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","TEXTID","NUMBER","tbl_compliance_evidence","detail_text","RequiredTable","Load long text into normalized CLOB detail field.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","ENTEREDBY","NUMBER","tbl_compliance_evidence","created_by","RequiredTable","Resolve legacy PP/user identifier to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","ENTEREDDATE","DATE","tbl_compliance_evidence","created_on","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","LASTUPDATEDBY","NUMBER","tbl_compliance_evidence","modified_by","RequiredTable","Resolve legacy PP/user identifier to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","LASTUPDATEDDATE","DATE","tbl_compliance_evidence","modified_on","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","SEQUENCE","NUMBER","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","DESCRIPTION","VARCHAR2","tbl_compliance_evidence","description","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","COMP_ID","NUMBER","tbl_compliance_evidence","compliance_evidence_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","FILE_DATA","CLOB","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","ID","NUMBER","tbl_compliance_evidence","compliance_evidence_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","FILE_NAME","VARCHAR2","tbl_compliance_evidence","name","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","LENGTH","NUMBER","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","TEXTID","NUMBER","tbl_compliance_evidence","detail_text","RequiredTable","Load long text into normalized CLOB detail field.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","ENTEREDBY","NUMBER","tbl_compliance_evidence","created_by","RequiredTable","Resolve legacy PP/user identifier to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","ENTEREDDATE","DATE","tbl_compliance_evidence","created_on","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","LASTUPDATEDBY","NUMBER","tbl_compliance_evidence","modified_by","RequiredTable","Resolve legacy PP/user identifier to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","LASTUPDATEDDATE","DATE","tbl_compliance_evidence","modified_on","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","SEQUENCE","NUMBER","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","DESCRIPTION","VARCHAR2","tbl_compliance_evidence","description","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","COMP_ID","NUMBER","tbl_compliance_evidence","compliance_evidence_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","FILE_DATA","CLOB","tbl_compliance_evidence","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance evidence requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","HIST_ID","NUMBER","tbl_compliance_case_history","compliance_case_history_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COM_ID","NUMBER","tbl_compliance_case_history","compliance_case_history_id","RequiredTable","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COM_CYCLE","NUMBER","tbl_compliance_case_history","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COM_STATUS","NUMBER","tbl_compliance_case_history","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COM_STAGE","NUMBER","tbl_compliance_case_history","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COMMENT_BY_ROLE","VARCHAR2","tbl_compliance_case_history","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COMMENT_BY_PPNO","NUMBER","tbl_compliance_case_history","user_id","RequiredTable","Resolve legacy PPNO to tbl_user.user_id crosswalk.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COMMENT_ON","DATE","tbl_compliance_case_history","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COMMENTS","VARCHAR2","tbl_compliance_case_history","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_HISTORY","COM_FLOW","VARCHAR2","tbl_compliance_case_history","REVIEW_REQUIRED","RequiredTable","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance case history requires DDL extension."
"AIS_T_AU_POST_COMPLIANCE_TEXT","C_TXT_ID","NUMBER","tbl_compliance_action","compliance_action_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance narrative/action text."
"AIS_T_AU_POST_COMPLIANCE_TEXT","COM_ID","NUMBER","tbl_compliance_action","compliance_action_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance narrative/action text."
"AIS_T_AU_POST_COMPLIANCE_TEXT","REPLY","NCLOB","tbl_compliance_action","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance narrative/action text."
"AIS_T_AU_POST_COMPLIANCE_TEXT","COM_CYCLE","NUMBER","tbl_compliance_action","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance narrative/action text."
"AIS_T_AU_POST_COMPLIANCE_TEXT","STATUS","CHAR","tbl_compliance_action","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance narrative/action text."
"AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","C_TXT_ID","NUMBER","tbl_compliance_action","compliance_action_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance narrative/action text."
"AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","COM_ID","NUMBER","tbl_compliance_action","compliance_action_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Medium","Compliance narrative/action text."
"AIS_T_AU_POST_COMPLIANCE_TEXT_CAU","REPLY","NCLOB","tbl_compliance_action","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","History","Requires tbl_entity migration and entity-code crosswalk.","Low","Compliance narrative/action text."
