JS file,View/layout using it,JS function/event,API URL,HTTP method,Controller/action,Controller parameters,JS parameters,DBConnection method,Package/procedure,Package spec exists,Package body exists,DB hardening,Status,Issue found,Recommended fix
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:291,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,submitDashboardLayout,/Administration/DashboardLayout/Save,POST,DashboardLayout.Save,items,,GetRoleDashboardConfig,PKG_AD.P_GET_ROLE_DASHBOARD_CONFIG,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:291,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,submitDashboardLayout,/Administration/DashboardLayout/Save,POST,DashboardLayout.Save,items,,MaintainRoleDashboardPage,PKG_AD.P_MAINT_ROLE_DASHBOARD_PAGE,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:259,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,getEntitiesListByTypeId,/ApiCalls/get_ais_entities_for_admin_panel_entity_addition,POST,ApiCalls.get_ais_entities_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE, ENT_TYPE_ID",ENT_TYPE_ID,GetAISEntitiesForAdminPanelEntityAddition,pkg_ad.P_GET_AIS_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"JS data is missing controller parameters: entity_code, entity_name",Add the missing JS data keys or update the controller signature if model binding is intentional.
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js:388,AIS\Views\AdministrationPanel\entity_shifting.cshtml:600; AIS\Views\AdministrationPanel\DashboardPartials\_EntityShifting.cshtml:590,getEntitiesListByTypeId,/ApiCalls/get_ais_entities_for_admin_panel_entity_addition,POST,ApiCalls.get_ais_entities_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE, ENT_TYPE_ID",ENT_TYPE_ID,GetAISEntitiesForAdminPanelEntityAddition,pkg_ad.P_GET_AIS_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"JS data is missing controller parameters: entity_code, entity_name",Add the missing JS data keys or update the controller signature if model binding is intentional.
AIS\wwwroot\js\csp\Views_AdministrationPanel_gm_repo_line_management.js:92,AIS\Views\AdministrationPanel\gm_repo_line_management.cshtml:100,updateGMOffice,/ApiCalls/update_gm_reporting_line_office,POST,ApiCalls.update_gm_reporting_line_office,"ENT_ID_ARR, GM_OFF_ID, REP_OFF_ID","ENT_ID_ARR, GM_OFF_ID, REP_OFF_ID, option",UpdateGMAndReportingLineOffice,,,,,Broken,Controller calls a DBConnection method that is not active or not indexed. | Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties. | Restore active DBConnection method or redirect controller to the replacement method.
AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_mapping.js:20,AIS\Views\AdministrationPanel\manage_entity_mapping.cshtml:207,getEntityMapping,/ApiCalls/get_entities_mapping,POST,ApiCalls.get_entities_mapping,"ENT_ID, P_TYPE, C_TYPE, RELATION_TYPE, IND","C_TYPE, ENT_ID, IND, P_TYPE",GetEntitiesMapping,pkg_ad.P_GET_ENTITIES_MAPPING,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,JS data is missing controller parameters: relation_type,Add the missing JS data keys or update the controller signature if model binding is intentional.
AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_mapping.js:51,AIS\Views\AdministrationPanel\manage_entity_mapping.cshtml:207,getEntityMappingReporting,/ApiCalls/get_entities_mapping_reporting,POST,ApiCalls.get_entities_mapping_reporting,"ENT_ID, P_TYPE, C_TYPE, RELATION_TYPE, IND","C_TYPE, ENT_ID, IND, P_TYPE",GetEntitiesMappingReporting,pkg_ad.P_GET_ENTITIES_MAPPING_REPORTING,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,JS data is missing controller parameters: relation_type,Add the missing JS data keys or update the controller signature if model binding is intentional.
AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_ent_audit_dept.js:109,AIS\Views\AdministrationPanel\manage_ent_audit_dept.cshtml:117,saveChangesManageEntityAuditDepartment,/ApiCalls/add_manage_entities_audit_department,POST,ApiCalls.add_manage_entities_audit_department,ENT_AUD_DEPT_MODEL,ENT_AUD_DEPT_MODEL,AddManageEntityAuditDepartment,pkg_ad.P_add_Entities_Audit_Department,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: pkg_ad.P_add_Entities_Audit_Department,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js:467,AIS\Views\AdministrationPanel\manage_user.cshtml:266; AIS\Views\AdministrationPanel\DashboardPartials\_ManageUser.cshtml:257,loadUserContexts,/ApiCalls/GetUserContexts,POST,ApiCalls.GetUserContexts,"userId, ppNumber","ppNumber, userId",GetUserContextAssignments,pkg_user_context.p_get_user_context_assignments,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand. | Confirm JS data keys match the bound request/model properties.
AIS\wwwroot\js\csp\Views_AdministrationPanel_risk_model.js:56,AIS\Views\AdministrationPanel\risk_model.cshtml:10,publishDepartmentChanges,/Setup/department_add,POST,,,"code, div_id, id, name, status",,,,,,Broken,API URL does not map to an active controller action.,Correct the JS endpoint or add/restore an active controller action only if this flow is still used.
AIS\wwwroot\js\csp\Views_AdministrationPanel_SystemLogs.js:91,AIS\Views\AdministrationPanel\SystemLogs.cshtml:104,deleteOldSystemLogs,/AdministrationPanel/DeleteSystemLogs,POST,AdministrationPanel.DeleteSystemLogs,cutoffTime,cutoffTime,DeleteOldSystemLogs,PKG_LG.P_DELETE_SYS_LOGS,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,Package procedure missing from checked-in source: PKG_LG.P_DELETE_SYS_LOGS,Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_BAC_cia_analysis.js:13,AIS\Views\BAC\cia_analysis.cshtml:166,getBACAnalysis,/ApiCalls/get_bac_analysis,POST,ApiCalls.get_bac_analysis,PROCESS_ID,"PROCESS_ID, option",GetBACCIAAnalysis,pkg_bac.P_CIA_ANALYSIS_DETAILS,Yes,Yes,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=Yes,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | JS sends parameters not present in controller signature: option","Add the missing DBConnection hardening statements around the OracleCommand. | Remove unused JS data keys or add explicit controller parameters if expected. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_BAC_cia_analysis.js:118,AIS\Views\BAC\cia_analysis.cshtml:166,getParaViewerDetails,/ApiCalls/get_analysis_detail_paras,POST,ApiCalls.get_analysis_detail_paras,PROCESS_ID,PROCESS_ID,GetAnalysisDetailPara,pkg_bac.P_CIA_ANALYSIS_DETAILS_PARA,Yes,Yes,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=Yes,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd)","Add the missing DBConnection hardening statements around the OracleCommand. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_BAC_cia_analysis.js:143,AIS\Views\BAC\cia_analysis.cshtml:166,getParaSummaryDetails,/ApiCalls/get_analysis_summary_paras,POST,ApiCalls.get_analysis_summary_paras,PROCESS_ID,PROCESS_ID,GetAnalysisSummaryPara,pkg_bac.P_CIA_ANALYSIS_SUMMARY,Yes,Yes,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=Yes,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd)","Add the missing DBConnection hardening statements around the OracleCommand. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_BAC_cia_analysis_detail.js:7,AIS\Views\BAC\cia_analysis_detail.cshtml:58,getBACSubProcess,/ApiCalls/get_bac_analysis,POST,ApiCalls.get_bac_analysis,PROCESS_ID,"PROCESS_ID, option",GetBACCIAAnalysis,pkg_bac.P_CIA_ANALYSIS_DETAILS,Yes,Yes,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=Yes,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | JS sends parameters not present in controller signature: option","Add the missing DBConnection hardening statements around the OracleCommand. | Remove unused JS data keys or add explicit controller parameters if expected. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_BAC_cia_analysis_detail.js:37,AIS\Views\BAC\cia_analysis_detail.cshtml:58,getBACAnalysis,/ApiCalls/get_bac_analysis,POST,ApiCalls.get_bac_analysis,PROCESS_ID,"PROCESS_ID, option",GetBACCIAAnalysis,pkg_bac.P_CIA_ANALYSIS_DETAILS,Yes,Yes,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=Yes,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | JS sends parameters not present in controller signature: option","Add the missing DBConnection hardening statements around the OracleCommand. | Remove unused JS data keys or add explicit controller parameters if expected. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:326,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditOms,/ApiCalls/get_commercial_audit_oms,GET,ApiCalls.get_commercial_audit_oms,,,GetCommercialAuditOms,PKG_COMMERCIAL_AUDIT.P_GET_OMS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_OMS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:451,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditOm,/ApiCalls/save_commercial_audit_om,POST,ApiCalls.save_commercial_audit_om,model,,SaveCommercialAuditOm,PKG_COMMERCIAL_AUDIT.P_SAVE_OM,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_OM,Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:510,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdpOmLookup,/ApiCalls/get_commercial_audit_oms,GET,ApiCalls.get_commercial_audit_oms,,,GetCommercialAuditOms,PKG_COMMERCIAL_AUDIT.P_GET_OMS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_OMS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:527,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdps,/ApiCalls/get_commercial_audit_pdps,GET,ApiCalls.get_commercial_audit_pdps,,,GetCommercialAuditPdps,PKG_COMMERCIAL_AUDIT.P_GET_PDPS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_PDPS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:711,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditPdp,/ApiCalls/save_commercial_audit_pdp,POST,ApiCalls.save_commercial_audit_pdp,model,,SaveCommercialAuditPdp,PKG_COMMERCIAL_AUDIT.P_SAVE_PDP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_PDP",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:740,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdpMappings,/ApiCalls/get_commercial_audit_pdp_om_mappings,GET,ApiCalls.get_commercial_audit_pdp_om_mappings,pdp_id,pdp_id,GetCommercialAuditPdpMappings,PKG_COMMERCIAL_AUDIT.P_GET_PDP_OM_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_PDP_OM_MAP","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:769,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditPdpMappings,/ApiCalls/save_commercial_audit_pdp_om_mapping,POST,ApiCalls.save_commercial_audit_pdp_om_mapping,model,,SaveCommercialAuditPdpMappings,PKG_COMMERCIAL_AUDIT.P_SAVE_PDP_OM_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_PDP_OM_MAP",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:811,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditPdpLookupForArpse,/ApiCalls/get_commercial_audit_pdps,GET,ApiCalls.get_commercial_audit_pdps,,,GetCommercialAuditPdps,PKG_COMMERCIAL_AUDIT.P_GET_PDPS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_PDPS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:834,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditArpsePdpMappings,/ApiCalls/get_commercial_audit_arpse_pdp_mappings,GET,ApiCalls.get_commercial_audit_arpse_pdp_mappings,arpse_id,arpse_id,GetCommercialAuditArpsePdpMappings,PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_PDP_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_PDP_MAP","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:907,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditArpsePdpMappings,/ApiCalls/save_commercial_audit_arpse_pdp_mapping,POST,ApiCalls.save_commercial_audit_arpse_pdp_mapping,model,,SaveCommercialAuditArpsePdpMappings,PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PDP_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PDP_MAP",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:997,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditArpseHeaders,/ApiCalls/get_commercial_audit_arpse_headers,GET,ApiCalls.get_commercial_audit_arpse_headers,,,GetCommercialAuditArpseHeaders,PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_HEADERS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_HEADERS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:1179,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditArpseHeader,/ApiCalls/save_commercial_audit_arpse_header,POST,ApiCalls.save_commercial_audit_arpse_header,model,,SaveCommercialAuditArpseHeader,PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:1214,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditArpseDacEntries,/ApiCalls/get_commercial_audit_arpse_dac_entries,GET,ApiCalls.get_commercial_audit_arpse_dac_entries,arpse_id,arpse_id,GetCommercialAuditArpseDacEntries,PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_DAC_ENTRIES,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_DAC_ENTRIES","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
