"Procedure/Function","Start line","End line","Category","Tables modified","Finding","Severity","Recommendation","Code change required"
"P_SubmitAuditObservationToAuditee","2326","2509","Mutating","T_AU_ACTIVITY_LOG;T_AU_OBSERVATION;T_AU_OBSERVATION_ASSIGNEDTO;T_AU_OBSERVATION_TEXT","Core observation date/status/numbering invariant affected; corrected in Stage 1 body.","High","Deploy revised implementation after compilation and regression validation.","Yes"
"P_GetLatestAuditeeResponse","2511","2526","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetOBSERVATIONSAUDITEERESPONSE","2528","2541","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_AUDITEE_OBSERVATION_RESPONSE_evidences","2543","2565","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_AUDITEE_OBSERVATION_RESPONSE_evidences_by_obs_id","2567","2591","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_AUDITEE_OBSERVATION_RESPONSE_evidences_FileData","2593","2618","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_UpdateAuditObservationStatus","2620","2888","Mutating","T_AU_ACTIVITY_LOG;T_AU_OBSERVATION;T_AU_OBSERVATIONS_AUDITEE_RESPONSE","Core observation date/status/numbering invariant affected; corrected in Stage 1 body.","Critical","Deploy revised implementation after compilation and regression validation.","Yes"
"AUDITOR_RESPONSE","2890","2938","Mutating","SET;T_AU_OBSERVATIONS_AUDITOR_RECOMMENDATION","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"AUDITOR_REPLY","2940","2998","Mutating","SET;T_AU_OBSERVATIONS_AUDITOR_REPLY","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GetLatestAuditorResponse","2999","3015","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetLatestDepartmentalHeadResponse","3017","3033","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"p_GetObservationEntities","3035","3147","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedObservations","3149","3191","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedObservationstext","3193","3230","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedObservationsForBranches","3232","3286","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedObservationsForBranchesTEXT","3288","3324","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedDraftObservations","3326","3484","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedDraftObservationsbranch","3486","3563","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedDraftObservationsText","3565","3577","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedDraftObservationsreply","3579","3587","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetManagedDraftObservationsForBranches","3589","3638","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"p_GetClosingDraftObservations","3640","3708","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_Closeaudit","3710","3848","Mutating","T_AU_AUDIT_JOINING;T_AU_AUDIT_TEAM_TASKLIST;T_AU_AUDIT_TEAMS;T_AU_PLAN_ENG;T_AU_PLAN_ENG_LOG;T_EXCEPTION_ACCOUNTS;T_EXCEPTION_ACCOUNTS_CUST;T_EXCEPTION_ACCOUNTS_DATA;T_EXCEPTION_ACCOUNTS_TXN;T_EXCEPTION_ENG;T_EXCEPTION_ENG_BRANCHES","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_get_details_for_manage_observations_summary","3851","3875","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetEntitiesForLegacyPara","3877","3907","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetEntitiesForLegacyPara_ho","3909","3927","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetEntitiesForLegacyPara_ho_report","3929","3946","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetLeagacyObservations_ho","3948","4046","Mutating","T_AU_DATA_VALIDATION_HO_LOG;T_AU_ERROR_LOGS","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_Settel_legacy_para_ho","4048","4077","Mutating","T_AU_OBSERVATION_OLD_CAD_PARAS;T_AU_OBSERVATION_OLD_CAD_PARAS_SETTLE_LOG","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_delete_legacy_para_ho","4079","4101","Mutating","T_AU_OBSERVATION_OLD_CAD_PARAS;T_AU_OBSERVATION_OLD_CAD_PARAS_SETTLE_LOG","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_GetLeagacyObservations","4103","4235","Mutating","T_AU_ERROR_LOGS;T_AU_OLD_PARAS_FAD_LOG","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"p_get_legacy_para_responsibles","4237","4273","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_update_legacy_Para_text","4275","4479","Mutating","AIS_T_AU_POST_COMPLIANCE;T_AU_DATA_VALIDATION_HO_LOG;T_AU_ERROR_LOGS;T_AU_OBSERVATION_OLD_CAD_PARAS;T_AU_OBSERVATION_OLD_CAD_PARAS_TEXT;T_AU_OLD_PARAS_FAD;T_AU_OLD_PARAS_FAD_LOG;T_AU_OLD_PARAS_FAD_TEXT","Mutating path with 13 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"p_add_para_responsibility","4481","4552","Mutating","T_AU_ERROR_LOGS;T_AU_OLD_PARAS_FAD_LOG;T_AU_OLD_PARAS_FAD_RESPONSIBILITY_ASSIGNED","Mutating path with 3 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"p_delete_para_responsibility","4554","4584","Mutating","T_AU_OBSERVATION_OLD_PARAS_RESPONIBILITY_ASSIGNED;T_AU_OLD_PARAS_FAD_RESPONSIBILITY_ASSIGNED","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_no_update_legacy_Para_text","4586","4641","Mutating","T_AU_ERROR_LOGS;T_AU_OLD_PARAS_FAD;T_AU_OLD_PARAS_FAD_LOG","Mutating path with 3 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_GetLeagacyObservations_for_gist_update","4643","4783","Mutating","T_AU_ERROR_LOGS;T_AU_OLD_PARAS_GIST_UPDATE_LOG","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_update_legacy_Para_Gist","4785","4836","Mutating","T_AU_ERROR_LOGS;T_AU_OLD_PARAS_GIST_UPDATE_LOG","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_Get_legacy_Para_to_authorize","4838","4890","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_Authorize_Para_Gist","4892","4937","Mutating","AIS_T_AU_POST_COMPLIANCE;T_AU_OBSERVATION_OLD_CAD_PARAS;T_AU_OLD_PARAS_FAD;T_AU_OLD_PARAS_GIST_UPDATE_LOG","Mutating path with 5 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_AddLoanCaseFile","4941","4980","Mutating","T_WORKING_PAPER_LOAN_CASE_FILE","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GetLoanCaseFile","4982","5030","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_AddVoucherChecking","5032","5062","Mutating","T_WORKING_PAPER_VOUCHER_CHECKING","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GetVoucherChecking","5064","5075","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_AddAccountOpeningDetails","5077","5110","Mutating","T_WORKING_PAPER_ACCOUNT_OPENING","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GetAccountOpeningDetails","5112","5124","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_AddFixedAssetsDetails","5126","5161","Mutating","T_WORKING_PAPER_FIXED_ASSETS","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GetFixedAssetsDetails","5163","5175","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_AddCashCounterDetails","5177","5218","Mutating","T_WORKING_PAPER_CASH_COUNT","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GetCashCounterDetails","5220","5230","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_entities_for_manage_observations","5232","5290","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_details_for_manage_observations","5292","5404","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_details_for_manage_observations_text","5406","5454","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"p_GetManageAuditParasEntities","5456","5481","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetObservationsForManageAuditParas","5483","5509","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetObservationsDetailsForManageAuditParas","5511","5556","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"GetResponsiblePPNOforoldPara","5558","5576","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_Get_responsibility","5578","5621","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_Update_Audit_Paras","5623","5685","Mutating","T_AU_OBSERVATION_UPDATED_REFERENCE","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_Update_responsibility","5687","5833","Mutating","T_AU_OBSERVATION_RESPONSIBILITY_UPDATED","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GET_Para_details_for_Authorize","5835","5894","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_Para_changes_for_Authorize","5896","5923","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_Get_responsibility_for_Authorize","5925","5959","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_OBSERVATION_TO_PRINT","5961","5990","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_Delete_responsibility","5992","6017","Mutating","T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_Authorize_Update_Audit_Paras","6019","6273","Mutating","AIS_T_AU_POST_COMPLIANCE;T_AU_OBSERVATION;T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED;T_AU_OBSERVATION_RESPONSIBILITY_UPDATED;T_AU_OBSERVATION_TEXT;T_AU_OBSERVATION_UPDATED_REFERENCE;T_AU_OLD_PARAS_FAD;T_AU_OLD_PARAS_FAD_RESPONSIBILITY_ASSIGNED;T_AU_OLD_PARAS_FAD_TEXT;T_AU_PARAS_STATUS_CHANGE_LOG","Mutating path with 10 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_GET_LC_DETAILS","6275","6311","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_draft_dsa","6313","6362","Mutating","T_AU_DSA;T_AU_DSA_TEXT","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_get_drafted_dsa","6364","6406","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_dsa_guidline","6408","6412","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_add_dsa_checkilist","6414","6428","Mutating","T_AU_DSA_GUIDELINES_ADDED","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_get_dsa_list","6430","6599","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_dsa_content","6600","6614","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_update_dsa_heading","6616","6639","Mutating","T_AU_OBSERVATION_TEXT","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_submit_dsa_to_head_fad","6641","6648","Mutating","T_AU_DSA","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_reffered_back_dsa_by_head_fad","6649","6657","Mutating","T_AU_DSA","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_submit_dsa_by_head_fad_to_dpd","6659","6667","Mutating","T_AU_DSA","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_reffered_back_dsa_by_dpd","6669","6676","Mutating","T_AU_DSA","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_submit_dsa_by_dpd_to_committee","6678","6686","Mutating","T_AU_DSA","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"p_get_email_address_for_dsa","6688","6703","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_responibilityforoldpara","6705","6827","Mutating","T_AU_OBSERVATION_RESPONSIBILITY_UPDATED","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_SearchReferences","6829","6851","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_SAVE_OBSERVATION_REFERENCES","6853","6889","Mutating","T_AU_OBSERVATION_REFERENCE_MAP","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_DELETE_OBS_REFERENCE","6891","6924","Mutating","T_AU_OBSERVATION_REFERENCE_MAP","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GET_OBSERVATION_REFERENCES","6926","6946","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_UPDATE_OBS_REFERENCE_STATUS","6948","6975","Mutating","T_AU_OBSERVATION_REFERENCE_MAP","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GET_ALL_OBSERVATION_REFERENCES","6977","6996","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_REFERENCE_MASTER_DETAIL","6998","7051","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_MANUAL_MASTER","7053","7068","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_MANUAL_SECTIONS","7070","7080","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_MANUAL_CHAPTERS","7082","7094","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_MANUAL_REFERENCE_GRID","7096","7119","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_REFERENCE_DETAIL_BY_ID","7121","7146","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_Add_Observation_To_Draft","7148","7238","Mutating","T_AU_OBSERVATION;T_AU_OBSERVATIONS_AUDITEE_RESPONSE","Core observation date/status/numbering invariant affected; corrected in Stage 1 body.","High","Deploy revised implementation after compilation and regression validation.","Yes"
"P_Finalize_Or_Settle_Observation","7240","7355","Mutating","T_AU_OBSERVATION;T_AU_OBSERVATIONS_AUDITEE_RESPONSE","Core observation date/status/numbering invariant affected; corrected in Stage 1 body.","Critical","Deploy revised implementation after compilation and regression validation.","Yes"

